Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
1,Antti Aalto\aaltoan01,24,MDA,C,63,7,11,18,-13,26,0.7,6,1,0,1,11,0,0,102,6.9,830,13:11
2,Bryan Adams\adamsbr01,22,ATL,LW,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,22,10:57
3,Greg Adams\adamsgr02,36,PHX,LW,69,19,27,46,-1,14,4.5,14,5,0,0,20,7,0,129,14.7,1171,16:58
4,Kevyn Adams\adamske01,25,TOR,C,52,5,8,13,-7,39,0.4,5,0,0,0,7,0,1,70,7.1,644,12:23
5,Maxim Afinogenov\afinoma01,20,BUF,RW,65,16,18,34,-4,41,3.7,14,2,0,2,12,6,0,128,12.5,854,13:09
6,Johnathan Aitken\aitkejo01,21,BOS,D,3,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,2,0.0,57,18:57
7,Mika Alatalo\alatami01,28,PHX,LW,82,10,17,27,-3,36,1.8,9,1,0,1,17,0,0,107,9.3,1035,12:37
8,Tommy Albelin\albelto01,35,CGY,D,41,4,6,10,-3,12,2.1,2,1,1,1,4,1,1,37,10.8,885,21:35
9,Keith Aldridge\aldrike01,26,DAL,D,4,0,0,0,1,0,0.2,0,0,0,0,0,0,0,6,0.0,44,11:05
10,Daniel Alfredsson\alfreda01,27,OTT,RW,57,21,38,59,11,28,7.1,15,4,2,0,27,9,2,164,12.8,1069,18:45
11,Jamie Allison\allisja01,24,CHI,D,59,1,3,4,-5,102,0.7,1,0,0,0,3,0,0,24,4.2,840,14:14
12,Jason Allison\allisja02,24,BOS,C,37,10,18,28,5,20,2.9,7,3,0,1,9,9,0,66,15.2,797,21:33
13,Tony Amonte\amontto01,29,CHI,RW,82,43,41,84,10,48,10.3,27,11,5,2,32,8,1,260,16.5,1795,21:54
14,Mikael Andersson\andermi01,33,TOT,LW,55,2,6,8,-3,4,0.1,1,0,1,0,5,0,1,57,3.5,559,10:10
15,Niklas Andersson\anderni01,28,TOT,LW,24,3,8,11,-3,8,0.8,2,1,0,0,4,3,1,31,9.7,316,13:11
16,Dave Andreychuk*\andreda01,36,TOT,LW,77,20,16,36,-20,30,2.7,12,8,0,3,7,9,0,233,8.6,1491,19:22
17,Greg Andrusak\andrugr01,30,TOR,D,9,0,1,1,1,4,0.3,0,0,0,0,1,0,0,5,0.0,166,18:25
18,Nik Antropov\antroni01,19,TOR,C,66,12,18,30,14,41,3.4,12,0,0,2,16,2,0,89,13.5,845,12:48
19,Derek Armstrong\armstde01,26,NYR,C,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,3,3:10
20,Jason Arnott\arnotja01,25,NJD,RW,76,22,34,56,22,51,6.6,15,7,0,4,26,8,0,244,9.0,1299,17:05
21,Magnus Arvedson\arvedma01,28,OTT,LW,47,15,13,28,4,36,3.3,13,1,1,4,13,0,0,91,16.5,849,18:04
22,Arron Asham\ashamar01,21,MTL,RW,33,4,2,6,-7,24,0.3,3,0,1,1,1,1,0,29,13.8,338,10:14
23,Kaspars Astashenko\astaska01,24,TBL,D,8,0,1,1,-2,4,0.1,0,0,0,0,1,0,0,3,0.0,134,16:48
24,Blair Atcheynum\atchebl01,30,CHI,RW,47,5,7,12,-8,6,0.4,5,0,0,0,7,0,0,48,10.4,576,12:15
25,Serge Aubin\aubinse01,24,COL,LW,15,2,1,3,1,6,0.4,2,0,0,1,1,0,0,14,14.3,99,6:37
26,Adrian Aucoin\aucoiad01,26,VAN,D,57,10,14,24,7,30,5.1,6,4,0,1,9,5,0,126,7.9,1317,23:06
27,Donald Audette\audetdo01,30,TOT,RW,63,19,24,43,2,57,4.6,17,1,1,4,15,9,0,162,11.7,1034,16:25
28,P.J. Axelsson\axelspj01,24,BOS,LW,81,10,16,26,1,24,1.6,10,0,0,4,15,1,0,186,5.4,1354,16:43
29,Maxim Balmochnykh\balmoma01,20,MDA,LW,6,0,1,1,2,2,0.1,0,0,0,0,1,0,0,6,0.0,40,6:44
30,Frank Banham\banhafr01,24,MDA,RW,3,0,0,0,0,2,0.0,0,0,0,0,0,0,0,4,0.0,20,6:47
31,Matthew Barnaby\barnama01,26,PIT,LW,64,12,12,24,3,197,2.2,12,0,0,3,11,1,0,80,15.0,809,12:38
32,Stu Barnes\barnest01,29,BUF,C,82,20,25,45,-3,16,4.3,10,8,2,2,17,8,0,137,14.6,1426,17:23
33,Murray Baron\baronmu01,32,VAN,D,81,2,10,12,8,67,3.4,2,0,0,0,8,1,1,48,4.2,1750,21:36
34,Len Barrie\barrile01,30,TOT,C,60,9,14,23,9,62,2.3,9,0,0,0,13,1,0,61,14.8,741,12:21
35,Lubos Bartecko\bartelu01,23,STL,LW,67,16,23,39,24,51,5.1,13,3,0,3,21,2,0,75,21.3,908,13:33
36,Andrei Bashkirov\bashkan01,29,MTL,LW,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,10,5:10
37,Bob Bassen\bassebo01,34,STL,C,27,1,3,4,-3,26,0.0,1,0,0,0,3,0,0,26,3.8,266,9:51
38,Shawn Bates\batessh01,24,BOS,C,44,5,7,12,-17,14,0.3,5,0,0,1,7,0,0,65,7.7,478,10:52
39,Bates Battaglia\battaba01,24,CAR,LW,77,16,18,34,20,39,4.3,13,3,0,3,17,1,0,86,18.6,1171,15:12
40,Nolan Baumgartner\baumgno01,23,WSH,D,8,0,1,1,1,2,0.3,0,0,0,0,0,1,0,6,0.0,84,10:31
41,Steve Begin\beginst01,21,CGY,C,13,1,1,2,-3,18,0.0,1,0,0,0,1,0,0,3,33.3,94,7:13
42,Derek Bekar\bekarde01,24,STL,C,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,5,5:14
43,Wade Belak\belakwa01,23,CGY,D,40,0,2,2,-4,122,0.2,0,0,0,0,2,0,0,11,0.0,302,7:33
44,Jesse Belanger\belanje01,30,MTL,C,16,3,6,9,2,2,1.1,3,0,0,0,5,1,0,21,14.3,171,10:41
45,Ken Belanger\belanke01,25,BOS,LW,37,2,2,4,-4,44,0.2,2,0,0,0,2,0,0,20,10.0,196,5:17
46,Josef Beranek\beranjo01,30,TOT,C,71,13,12,25,-12,57,1.6,9,4,0,1,9,3,0,139,9.4,1029,14:29
47,Bryan Berard\berarbr01,22,TOR,D,64,3,27,30,11,42,5.1,2,1,0,0,17,10,0,98,3.1,1253,19:34
48,Drake Berehowsky\berehdr01,28,NSH,D,79,12,20,32,-4,87,6.5,7,5,0,1,13,7,0,102,11.8,1790,22:39
49,Bubba Berenzweig\berenbu01,22,NSH,D,2,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,3,0.0,35,17:32
50,Sergei Berezin\berezse01,28,TOR,LW,61,26,13,39,8,2,5.2,21,5,0,4,10,3,0,241,10.8,1029,16:52
51,Aki Berg\bergak01,22,LAK,D,70,3,13,16,-1,45,2.6,3,0,0,0,11,2,0,70,4.3,1165,16:39
52,Marc Bergevin\bergema01,34,STL,D,81,1,8,9,27,75,5.3,1,0,0,0,7,0,1,54,1.9,1723,21:16
53,Eric Bertrand\bertrer01,24,TOT,LW,12,0,0,0,-6,4,-0.4,0,0,0,0,0,0,0,12,0.0,111,9:13
54,Todd Bertuzzi\bertuto01,24,VAN,RW,80,25,25,50,-2,126,5.5,21,4,0,2,18,7,0,173,14.5,1232,15:24
55,Craig Berube\berubcr01,34,PHI,LW,77,4,8,12,3,162,0.9,4,0,0,0,8,0,0,63,6.3,616,8:00
56,Radim Bicanek\bicanra01,25,CHI,D,11,0,3,3,7,4,1.0,0,0,0,0,3,0,0,8,0.0,203,18:27
57,Mathieu Biron\bironma02,19,NYI,D,60,4,4,8,-13,38,1.1,2,2,0,2,2,2,0,70,5.7,902,15:02
58,James Black\blackja01,30,WSH,LW,49,8,9,17,-1,6,1.5,7,1,0,1,6,1,2,71,11.3,591,12:03
59,Jason Blake\blakeja01,26,LAK,C,64,5,18,23,4,26,1.7,5,0,0,1,14,4,0,131,3.8,722,11:17
60,Rob Blake*\blakero01,30,LAK,D,77,18,39,57,10,112,9.8,6,12,0,5,24,14,1,327,5.5,2194,28:30
61,Doug Bodger\bodgedo01,33,VAN,D,13,0,1,1,-6,4,-0.2,0,0,0,0,1,0,0,11,0.0,212,16:17
62,Eric Boguniecki\boguner01,24,FLA,C,4,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,5,0.0,34,8:35
63,Alexandre Boikov\boikoal01,24,NSH,D,2,0,0,0,0,2,0.0,0,0,0,0,0,0,0,1,0.0,17,8:31
64,Brad Bombardir\bombabr01,27,NJD,D,32,3,1,4,-6,6,0.7,3,0,0,0,0,1,0,24,12.5,509,15:54
65,Peter Bondra\bondrpe01,31,WSH,RW,62,21,17,38,5,30,4.3,13,5,3,5,11,6,0,187,11.2,1166,18:48
66,Radek Bonk\bonkra01,24,OTT,C,80,23,37,60,-2,53,6.3,13,10,0,5,26,10,1,167,13.8,1458,18:14
67,Ryan Bonni\bonniry01,20,VAN,D,3,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,29,9:37
68,Dennis Bonvie\bonvide01,26,PIT,RW,28,0,0,0,-2,80,-0.2,0,0,0,0,0,0,0,6,0.0,91,3:14
69,Sebastien Bordeleau\bordese01,24,NSH,C,60,10,13,23,-12,30,1.7,8,0,2,1,12,0,1,127,7.9,836,13:56
70,Jason Botterill\botteja01,23,TOT,LW,27,1,4,5,-11,17,-0.3,1,0,0,1,4,0,0,19,5.3,298,11:02
71,Joel Bouchard\bouchjo01,26,TOT,D,54,1,4,5,-10,25,1.1,1,0,0,0,4,0,0,61,1.6,991,18:21
72,Philippe Boucher\bouchph01,26,LAK,D,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,17,17:04
73,Bob Boughner\boughbo01,28,TOT,D,73,3,4,7,-11,166,1.7,2,1,0,1,4,0,0,40,7.5,1262,17:17
74,Francis Bouillon\bouilfr01,24,MTL,D,74,3,13,16,-7,38,3.4,1,2,0,1,9,4,0,76,3.9,1174,15:52
75,Ray Bourque*\bourqra01,39,TOT,D,79,18,34,52,-2,26,9.7,5,13,0,0,10,24,0,260,6.9,2148,27:11
76,Dan Boyle\boyleda01,23,FLA,D,13,0,3,3,-2,4,0.4,0,0,0,0,2,1,0,9,0.0,220,16:57
77,Nick Boynton\boyntni01,21,BOS,D,5,0,0,0,-5,0,-0.3,0,0,0,0,0,0,0,6,0.0,107,21:21
78,Donald Brashear\brashdo01,28,VAN,LW,60,11,2,13,-9,136,0.7,10,1,0,3,1,1,0,83,13.3,787,13:07
79,Eric Brewer\breweer01,20,NYI,D,26,0,2,2,-11,20,-0.2,0,0,0,0,2,0,0,30,0.0,482,18:33
80,Daniel Briere\brierda01,22,PHX,C,13,1,1,2,0,0,0.1,1,0,0,0,1,0,0,9,11.1,100,7:41
81,Travis Brigley\brigltr01,22,CGY,LW,17,0,2,2,-6,4,-0.4,0,0,0,0,1,0,1,17,0.0,242,14:14
82,Aris Brimanis\brimaar01,27,NYI,D,18,2,1,3,-5,6,0.5,0,2,0,0,1,0,0,16,12.5,360,20:00
83,Rod Brind'Amour\brindro01,29,TOT,C,45,9,13,22,-13,26,1.4,4,4,1,1,9,4,0,87,10.3,929,20:39
84,Patrice Brisebois\brisepa01,29,MTL,D,54,10,25,35,-1,18,6.8,5,5,0,2,13,12,0,88,11.4,1254,23:14
85,Brad Brown\brownbr01,24,CHI,D,57,0,9,9,-1,134,1.4,0,0,0,0,8,0,1,15,0.0,809,14:12
86,Curtis Brown\browncu01,23,BUF,C,74,22,29,51,19,42,6.1,17,5,0,4,25,4,0,149,14.8,1345,18:11
87,Doug Brown\browndo01,35,DET,RW,51,10,8,18,8,12,2.0,9,0,1,0,7,0,1,67,14.9,657,12:53
88,Kevin Brown\brownke03,25,EDM,RW,7,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,5,0.0,58,8:21
89,Rob Brown\brownro01,31,PIT,RW,50,10,13,23,-13,10,1.8,6,4,0,3,2,11,0,73,13.7,531,10:37
90,Sean Brown\brownse01,23,EDM,D,72,4,8,12,1,192,2.7,4,0,0,2,7,1,0,36,11.1,914,12:41
91,Benoit Brunet\brunebe01,31,MTL,LW,50,14,15,29,3,13,3.4,7,6,1,2,10,5,0,103,13.6,899,17:59
92,Andrew Brunette\brunean01,26,ATL,LW,81,23,27,50,-32,30,4.4,14,9,0,2,15,12,0,107,21.5,1272,15:42
93,Sergei Brylin\brylise01,26,NJD,C,64,9,11,20,0,20,1.5,8,1,0,1,10,1,0,84,10.7,857,13:23
94,Kelly Buchberger\buchbke01,33,TOT,LW,81,7,13,20,-36,152,-0.6,7,0,0,0,12,1,0,76,9.2,1303,16:05
95,Jan Bulis\bulisja01,21,WSH,C,56,9,22,31,7,30,3.1,9,0,0,1,19,3,0,92,9.8,780,13:55
96,Pavel Bure*\burepa01,28,FLA,RW,74,58,36,94,25,16,13.5,45,11,2,14,27,9,0,360,16.1,1804,24:23
97,Valeri Bure\bureva01,25,CGY,RW,82,35,40,75,-7,50,8.0,22,13,0,6,22,18,0,308,11.4,1720,20:58
98,Marc Bureau\bureama01,33,TOT,C,63,3,5,8,-4,12,-0.1,2,0,1,0,5,0,0,51,5.9,724,11:29
99,Shawn Burr\burrsh01,33,TBL,LW,4,0,2,2,2,0,0.2,0,0,0,0,2,0,0,6,0.0,46,11:28
100,Adam Burt\burtad01,31,PHI,D,67,1,6,7,-2,45,2.3,1,0,0,1,6,0,0,49,2.0,1093,16:19
101,Sven Butenschön\butensv01,23,PIT,D,3,0,0,0,3,0,0.3,0,0,0,0,0,0,0,2,0.0,49,16:25
102,Viacheslav Butsayev\butsavi01,29,TOT,C,5,0,0,0,-4,0,-0.2,0,0,0,0,0,0,0,2,0.0,45,9:04
103,Yuri Butsayev\butsayu01,21,DET,C,57,5,3,8,-6,12,0.1,5,0,0,0,3,0,0,46,10.9,547,9:36
104,Petr Buzek\buzekpe01,22,ATL,D,63,5,14,19,-22,41,2.3,2,3,0,0,10,4,0,90,5.6,1159,18:24
105,Dan Bylsma\bylsmda01,29,LAK,LW,64,3,6,9,-2,55,-0.1,2,0,1,0,6,0,0,43,7.0,665,10:23
106,Eric Cairns\cairner01,25,NYI,D,67,2,7,9,-5,196,1.9,2,0,0,0,5,0,2,55,3.6,1187,17:43
107,Kyle Calder\caldeky01,21,CHI,C,8,1,1,2,-3,2,0.0,1,0,0,0,1,0,0,5,20.0,80,9:59
108,Brian Campbell\campbbr02,20,BUF,D,12,1,4,5,-2,4,0.7,1,0,0,0,2,2,0,10,10.0,190,15:48
109,Jim Campbell\campbji01,26,STL,RW,2,0,0,0,0,9,0.0,0,0,0,0,0,0,0,6,0.0,31,15:17
110,Guy Carbonneau*\carbogu01,39,DAL,C,69,10,6,16,10,36,1.6,9,0,1,4,6,0,0,70,14.3,1079,15:38
111,Keith Carney\carneke01,29,PHX,D,82,4,20,24,11,87,5.2,4,0,0,1,18,2,0,73,5.5,1738,21:12
112,Anson Carter\cartean01,25,BOS,C,59,22,25,47,8,14,5.6,18,4,0,1,16,9,0,144,15.3,1211,20:31
113,Andrew Cassels\cassean01,30,VAN,C,79,17,45,62,8,16,5.8,11,6,0,1,27,17,1,109,15.6,1526,19:19
114,Shawn Chambers\chambsh01,33,DAL,D,4,0,0,0,-2,4,0.0,0,0,0,0,0,0,0,2,0.0,92,22:59
115,Zdeno Chara\charazd01,22,NYI,D,65,2,9,11,-27,57,0.6,2,0,0,1,8,0,1,47,4.3,1486,22:52
116,Eric Charron\charrer01,30,CGY,D,21,0,0,0,-3,37,0.0,0,0,0,0,0,0,0,8,0.0,220,10:29
117,Brad Chartrand\chartbr01,25,LAK,RW,50,6,6,12,4,17,1.0,5,0,1,3,6,0,0,51,11.8,552,11:03
118,Kelly Chase\chaseke01,32,STL,RW,25,0,1,1,-5,118,-0.4,0,0,0,0,1,0,0,14,0.0,194,7:46
119,Vladimir Chebaturkin\chebavl01,24,NYI,D,17,1,1,2,-3,8,0.4,1,0,0,0,1,0,0,9,11.1,288,16:57
120,Chris Chelios*\chelich01,38,DET,D,81,3,31,34,48,103,9.2,3,0,0,0,25,4,2,135,2.2,2047,25:16
121,Tom Chorske\chorsto01,33,PIT,LW,33,1,5,6,-2,2,0.1,1,0,0,0,4,0,1,14,7.1,259,7:50
122,Ryan Christie\chrisry01,21,DAL,LW,5,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,12,2:29
123,Artem Chubarov\chubaar01,20,VAN,C,49,1,8,9,-4,10,-0.1,1,0,0,1,8,0,0,53,1.9,574,11:43
124,Marian Cisar\cisarma01,21,NSH,RW,3,0,0,0,-2,4,-0.1,0,0,0,0,0,0,0,2,0.0,25,8:18
125,Brett Clark\clarkbr01,23,ATL,D,14,0,1,1,-12,4,-0.5,0,0,0,0,1,0,0,13,0.0,236,16:51
126,Chris Clark\clarkch01,23,CGY,RW,22,0,1,1,-3,14,-0.4,0,0,0,0,1,0,0,17,0.0,199,9:02
127,Wendel Clark\clarkwe01,33,TOT,LW,33,4,2,6,-5,34,0.1,4,0,0,1,2,0,0,63,6.3,401,12:09
128,Dan Cleary\clearda01,21,EDM,LW,17,3,2,5,-1,8,0.5,3,0,0,1,1,1,0,18,16.7,166,9:44
129,Ben Clymer\clymebe01,21,TBL,D,60,2,6,8,-26,87,0.0,0,2,0,0,5,1,0,98,2.0,1177,19:37
130,Paul Coffey*\coffepa01,38,CAR,D,69,11,29,40,-6,40,7.1,5,6,0,3,13,16,0,155,7.1,1558,22:35
131,Paul Comrie\comripa01,22,EDM,C,15,1,2,3,-2,4,0.1,1,0,0,0,2,0,0,11,9.1,155,10:21
132,Tim Connolly\connoti01,18,NYI,C,81,14,20,34,-25,44,1.8,11,2,1,1,16,4,0,114,12.3,1321,16:18
133,Craig Conroy\conrocr01,28,STL,C,79,12,15,27,5,36,2.4,9,1,2,3,13,0,2,98,12.2,1170,14:48
134,Matt Cooke\cookema01,21,VAN,LW,51,5,7,12,3,39,0.8,4,0,1,1,7,0,0,58,8.6,602,11:48
135,Rene Corbet\corbere01,26,TOT,LW,52,5,10,15,-11,60,0.6,4,1,0,0,8,2,0,109,4.6,605,11:38
136,Bob Corkum\corkubo01,32,LAK,RW,45,5,6,11,0,14,0.4,5,0,0,0,5,0,1,45,11.1,650,14:26
137,Shayne Corson\corsosh01,33,MTL,LW,70,8,20,28,-2,115,1.9,6,2,0,1,7,12,1,121,6.6,1336,19:05
138,Patrick Cote\cotepa01,25,NSH,LW,21,0,0,0,-7,70,-0.4,0,0,0,0,0,0,0,8,0.0,110,5:13
139,Sylvain Cote\cotesy01,34,TOT,D,76,8,27,35,3,28,6.3,3,5,0,2,14,13,0,128,6.3,1625,21:23
140,Geoff Courtnall\courtge01,37,STL,LW,6,2,2,4,3,6,0.6,2,0,0,1,1,1,0,15,13.3,86,14:20
141,Jeff Cowan\cowanje01,23,CGY,LW,13,4,1,5,2,16,0.8,4,0,0,0,1,0,0,26,15.4,135,10:22
142,Murray Craven\cravemu01,35,SJS,C,19,0,2,2,-2,4,-0.3,0,0,0,0,1,1,0,18,0.0,249,13:06
143,Cory Cross\crossco01,29,TOR,D,71,4,11,15,13,64,3.8,4,0,0,1,10,0,1,60,6.7,1135,15:59
144,Phil Crowe\croweph01,29,NSH,RW,4,0,0,0,0,10,0.0,0,0,0,0,0,0,0,1,0.0,16,4:06
145,Matt Cullen\cullema01,23,MDA,C,80,13,26,39,5,24,3.3,12,1,0,1,18,7,1,137,9.5,1352,16:54
146,Jassen Cullimore\cullija01,27,TBL,D,46,1,1,2,-12,66,0.0,1,0,0,0,1,0,0,23,4.3,719,15:38
147,Jim Cummins\cummiji01,29,MTL,RW,47,3,5,8,-5,92,0.4,3,0,0,0,4,1,0,33,9.1,422,8:58
148,Mariusz Czerkawski\czerkma01,27,NYI,RW,79,35,35,70,-16,34,8.1,19,16,0,4,22,13,0,276,12.7,1402,17:45
149,Andreas Dackell\dackean01,27,OTT,RW,82,10,25,35,5,18,2.7,10,0,0,1,20,5,0,99,10.1,1335,16:17
150,Ulf Dahlen\dahleul01,33,WSH,RW,75,15,23,38,11,8,4.3,10,5,0,4,21,2,0,106,14.2,949,12:40
151,Alexandre Daigle\daiglal02,24,NYR,RW,58,8,18,26,-5,23,2.2,7,1,0,1,13,5,0,52,15.4,637,10:59
152,J.J. Daigneault\daignjj01,34,PHX,D,53,1,6,7,-16,22,0.2,1,0,0,0,5,1,0,44,2.3,753,14:12
153,Vincent Damphousse\damphvi01,32,SJS,C,82,21,49,70,4,58,6.8,17,3,1,1,17,27,5,204,10.3,1676,20:26
154,Mathieu Dandenault\dandema01,23,DET,D,81,6,12,18,-12,20,2.3,6,0,0,0,11,0,1,98,6.1,986,12:10
155,Ken Daneyko\daneyke01,35,NJD,D,78,0,6,6,13,98,3.0,0,0,0,0,5,0,1,74,0.0,1411,18:06
156,Jeff Daniels\danieje01,31,CAR,LW,69,3,4,7,-8,10,0.0,3,0,0,0,4,0,0,28,10.7,531,7:42
157,Craig Darby\darbycr01,27,MTL,C,76,7,10,17,-14,14,0.6,6,0,1,2,10,0,0,90,7.8,1045,13:45
158,Johan Davidsson\davidjo02,24,TOT,C,19,3,4,7,0,2,0.7,3,0,0,1,3,1,0,29,10.3,215,11:19
159,Jason Dawe\daweja01,26,NYR,RW,3,0,1,1,0,2,0.0,0,0,0,0,1,0,0,8,0.0,41,13:35
160,Eric Daze\dazeer01,24,CHI,RW,59,23,13,36,-16,28,3.8,17,6,0,1,7,5,1,143,16.1,959,16:15
161,Greg de Vries\devrigr01,27,COL,D,69,2,7,9,-7,73,1.7,2,0,0,0,7,0,0,40,5.0,1034,14:59
162,Adam Deadmarsh\deadmad01,24,COL,RW,71,18,27,45,-10,106,3.7,13,5,0,4,12,14,1,153,11.8,1452,20:27
163,Kevin Dean\deanke01,30,TOT,D,64,3,8,11,3,36,2.8,2,0,1,0,7,1,0,47,6.4,1049,16:24
164,Louie DeBrusk\debrulo01,28,PHX,LW,61,4,3,7,1,78,0.6,4,0,0,0,3,0,0,24,16.7,327,5:21
165,Andy Delmore\delmoan01,23,PHI,D,27,2,5,7,-1,8,1.5,2,0,0,1,4,1,0,55,3.6,467,17:17
166,Pavol Demitra\demitpa01,25,STL,RW,71,28,47,75,34,8,9.7,20,8,0,4,32,15,0,241,11.6,1365,19:13
167,Nathan Dempsey\dempsna01,25,TOR,LW,6,0,2,2,2,2,0.1,0,0,0,0,2,0,0,3,0.0,82,13:40
168,Eric Desjardins\desjaer01,30,PHI,D,81,14,41,55,20,32,12.0,6,8,0,4,25,16,0,207,6.8,2188,27:01
169,Boyd Devereaux\deverbo01,21,EDM,C,76,8,19,27,7,20,2.3,7,0,1,2,19,0,0,108,7.4,958,12:36
170,Gerald Diduck\diducge01,34,TOR,D,26,0,3,3,2,33,0.7,0,0,0,0,3,0,0,18,0.0,401,15:25
171,Rob DiMaio\dimairo01,31,TOT,RW,62,6,19,25,-9,50,1.2,6,0,0,0,18,1,0,111,5.4,1025,16:32
172,Kevin Dineen\dineeke01,36,OTT,RW,67,4,8,12,2,57,0.7,4,0,0,1,8,0,0,71,5.6,638,9:31
173,Chris Dingman\dingmch01,23,COL,LW,68,8,3,11,-2,132,1.1,6,2,0,1,1,2,0,54,14.8,441,6:29
174,Shane Doan\doansh01,23,PHX,RW,81,26,25,51,6,66,5.7,24,1,1,4,23,2,0,221,11.8,1365,16:51
175,Jason Doig\doigja01,23,NYR,D,7,0,1,1,-2,22,0.0,0,0,0,0,1,0,0,3,0.0,62,8:50
176,Bobby Dollas\dollabo01,35,TOT,D,50,3,7,10,6,28,2.8,2,1,0,0,7,0,0,36,8.3,1004,20:05
177,Robert Dome\domero01,21,PIT,C,22,2,5,7,1,0,0.5,2,0,0,0,4,1,0,27,7.4,217,9:51
178,Hnat Domenichelli\domenhn01,23,TOT,C,59,11,18,29,-21,16,1.9,10,1,0,1,11,7,0,125,8.8,861,14:36
179,Tie Domi\domiti01,30,TOR,RW,70,5,9,14,-5,198,0.5,5,0,0,2,8,1,0,64,7.8,698,9:58
180,Ted Donato\donatte01,30,MDA,LW,81,11,19,30,-3,26,2.1,9,2,0,3,15,3,1,138,8.0,1181,14:35
181,Shean Donovan\donovsh01,25,TOT,RW,51,5,7,12,-17,26,0.2,4,1,0,1,5,2,0,66,7.6,569,11:09
182,Jim Dowd\dowdji01,31,EDM,C,69,5,18,23,10,45,1.7,3,2,0,1,13,5,0,103,4.9,906,13:08
183,Aaron Downey\downeaa01,25,BOS,RW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,9,8:31
184,Dallas Drake\drakeda01,30,PHX,RW,79,15,30,45,11,62,4.4,13,0,2,5,26,1,3,127,11.8,1248,15:48
185,Kris Draper\drapekr01,28,DET,C,51,5,7,12,3,28,0.6,5,0,0,3,7,0,0,76,6.6,691,13:33
186,Harold Druken\drukeha01,21,VAN,C,33,7,9,16,14,10,2.2,5,2,0,0,9,0,0,69,10.1,429,13:01
187,Stan Drulia\drulist01,32,TBL,RW,68,11,22,33,-18,24,1.9,8,1,2,1,17,5,0,94,11.7,1130,16:37
188,Chris Drury\drurych01,23,COL,C,82,20,47,67,8,42,6.8,13,7,0,2,31,16,0,213,9.4,1521,18:33
189,Ted Drury\druryte01,28,TOT,C,66,3,2,5,-9,37,-0.4,2,1,0,0,2,0,0,57,5.3,487,7:23
190,Steve Dubinsky\dubinst01,29,CGY,C,23,0,1,1,-12,4,-0.8,0,0,0,0,1,0,0,29,0.0,278,12:05
191,Steve Duchesne\duchest01,34,DET,D,79,10,31,41,12,42,7.6,9,1,0,1,17,14,0,154,6.5,1677,21:14
192,Dave Duerden\duerdda01,22,FLA,LW,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,3,1:35
193,J.P. Dumont\dumonjp01,21,CHI,LW,47,10,8,18,-6,18,1.6,10,0,0,1,8,0,0,86,11.6,606,12:54
194,Radek Dvorak\dvorara01,22,TOT,RW,81,18,32,50,5,16,4.8,15,2,1,1,20,9,3,157,11.5,1386,17:07
195,Gordie Dwyer\dwyergo01,22,TBL,LW,24,0,1,1,-6,135,-0.3,0,0,0,0,1,0,0,7,0.0,119,4:57
196,Karl Dykhuis\dykhuka01,27,TOT,D,72,7,13,20,-5,46,4.8,3,3,1,0,9,4,0,69,10.1,1406,19:32
197,Mike Eagles\eaglemi01,36,WSH,LW,25,2,0,2,-7,15,-0.2,2,0,0,1,0,0,0,13,15.4,190,7:37
198,Dallas Eakins\eakinda01,32,NYI,D,2,0,1,1,3,2,0.4,0,0,0,0,1,0,0,4,0.0,43,21:28
199,Mike Eastwood\eastwmi01,32,STL,C,79,19,15,34,5,32,3.8,15,1,3,3,13,0,2,83,22.9,1196,15:08
200,Mark Eaton\eatonma01,22,PHI,D,27,1,1,2,1,8,1.1,1,0,0,1,0,1,0,25,4.0,494,18:17
201,Nils Ekman\ekmanni01,23,TBL,RW,28,2,2,4,-8,36,-0.2,1,1,0,0,1,1,0,42,4.8,313,11:12
202,Patrik Elias\eliaspa01,23,NJD,LW,72,35,37,72,16,58,9.4,26,9,0,9,22,15,0,183,19.1,1257,17:28
203,Matt Elich\elichma01,20,TBL,RW,8,1,1,2,-1,0,0.2,1,0,0,0,1,0,0,5,20.0,49,6:07
204,Dave Ellett\elletda01,35,STL,D,52,2,8,10,-4,12,1.8,2,0,0,1,4,4,0,41,4.9,701,13:28
